Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir,WindSpeed,Humidity,Pressure,Cloud,Temp,RainToday,RainTomorrow
NorahHead,18.9,23.7,0,,,SSE,41,SSE,28,55,1026,,22.4,No,Yes
Nuriootpa,11.1,20.8,0,4.8,8.3,W,39,WSW,26,48,1014.4,7,19.5,No,No
GoldCoast,15.9,19.5,17.6,,,SE,44,SW,9,99,1028.5,,17.8,Yes,Yes
Bendigo,0,14.9,0,,,WSW,35,WNW,19,55,1023,4,14.2,No,Yes
Walpole,9.1,22.7,0,,,NNE,41,ESE,7,40,1027.1,,22.5,No,No
MelbourneAirport,6.6,16.3,8.4,3.4,6.9,S,50,S,30,55,1021.4,7,14.6,Yes,No
Mildura,9.7,20.6,0,1,4.2,WNW,61,NW,20,35,1015.8,7,19.5,No,No
Williamtown,17.1,21.9,134.8,,0,SSE,54,SSE,28,99,1012,8,17.9,Yes,Yes
Watsonia,13.5,23.5,0,6.8,6.5,NW,46,NE,19,53,1018.2,6,22.2,No,Yes
Nhil,12.5,21.3,0,,,W,65,W,22,82,1002.6,,13.1,No,Yes
Bendigo,6.5,21.6,0.2,,,ENE,37,NNE,13,43,1023.4,1,21,No,No
MountGinini,12.2,19.2,0,,,NNW,56,NNW,9,98,,,11.5,No,Yes
Newcastle,8.5,23,0,,,,,,0,52,,6,21.8,No,Yes
BadgerysCreek,7.5,19.9,0,,,S,20,SSE,11,60,1020,,17.6,No,Yes
SydneyAirport,12.5,18.3,0,2.4,4.2,S,50,S,30,79,1023.5,7,16.5,No,Yes
Bendigo,1.6,14.2,0.2,1.2,,NNE,22,N,13,67,1020.2,5,13.3,No,No
Watsonia,2.8,14.4,2.4,2.2,5,NNW,41,NNW,19,58,1012,7,13.3,Yes,Yes
Tuggeranong,14.7,36.1,0,,,SW,46,NW,24,34,1007.8,,34.7,No,Yes
WaggaWagga,3.8,11.4,0,1.6,0.2,ENE,15,W,9,89,1015.2,7,11.2,No,Yes
Mildura,8.1,28.3,0,6.6,8.8,NW,26,NW,15,20,1014.1,6,26.6,No,No
Hobart,14.6,18.4,1.4,3.8,,SSW,44,SSW,9,90,1003.8,7,17.3,Yes,Yes
Portland,13.6,17.9,2.4,6.2,11.4,SSW,43,S,15,50,1008.6,3,16.5,Yes,No
AliceSprings,9.1,23.7,0,4,,E,41,NE,13,26,1017.1,6,22.4,No,No
Brisbane,12.8,22.4,0.2,2.6,8.2,SE,33,SE,17,60,1025.9,6,20.7,No,Yes
PerthAirport,9.7,20,0,2.2,7.9,ENE,35,N,11,54,1017.6,6,18.7,No,No
Witchcliffe,12.9,15.6,19,,,W,72,SW,26,69,1005.8,,11.8,Yes,Yes
Albany,,13.8,0,2.2,,,,,,,1026.3,,,No,No
Darwin,22.1,32.7,6.6,6.4,7.2,NNW,35,NNW,15,56,1002.3,6,31.9,Yes,Yes
Walpole,12.7,17.2,15.6,,,WSW,50,S,24,56,1022.3,,15.6,Yes,No
Brisbane,19.2,28.4,2,8.2,10.6,E,31,E,17,62,1011.1,5,26.4,Yes,Yes
PerthAirport,8.2,23.9,0,4.8,11.5,SSE,31,W,19,43,1021.5,0,22.9,No,No
Ballarat,6.7,10.3,3.8,,,N,61,N,44,100,1003.5,8,9.1,Yes,Yes
Canberra,2.4,11.3,1.2,0,2.2,SE,24,SSW,11,83,1018.9,8,9.2,Yes,No
MountGambier,3.4,17.8,0,3.4,4.8,W,46,WNW,26,63,1008.7,8,16.6,No,Yes
Penrith,6.9,15.7,0.2,,,WSW,63,WSW,20,41,,,15.2,No,Yes
Townsville,22.9,28.3,63.2,,0,ENE,22,ENE,17,77,1008.1,8,28.1,Yes,Yes
Witchcliffe,10.6,17.4,0.4,,,NW,35,W,19,68,1020.7,,15.5,No,Yes
PerthAirport,15.2,22.5,0,1.2,0.4,E,35,NE,20,70,1009.8,7,21.7,No,Yes
WaggaWagga,12.4,17.4,8.8,1.4,2.4,E,26,E,17,76,1022.7,7,17.2,Yes,Yes
Townsville,24.4,31.4,1,6.4,,NE,46,ENE,20,96,1008.9,8,24.9,No,Yes
Bendigo,7.1,16.5,0,,,WSW,35,SW,19,56,1022.6,7,14.9,No,No
Hobart,7.9,15.9,0,1.6,3.5,NW,56,NNW,13,55,1013.4,5,15.2,No,Yes
Cairns,18,27.3,6.4,5.4,6.5,SE,57,SE,35,54,1018.7,4,25.7,Yes,Yes
Sydney,13.7,18.5,8,2.8,0.1,,,E,19,87,1022.3,7,17.6,Yes,Yes
Cobar,10.1,23.6,0,4.8,,SSW,26,WSW,15,37,1010.9,7,22.4,No,No
WaggaWagga,-1.6,20.3,0,3.8,10.7,SW,39,SW,22,24,1026.6,1,19.7,No,No
WaggaWagga,8.7,20,4.4,3.6,,W,56,SW,22,54,1011.4,8,18.6,Yes,No
Darwin,18.4,29,0,7.6,11.1,ESE,52,ESE,24,12,1014.3,0,28.2,No,No
AliceSprings,-2,20.1,0,,,ESE,43,SE,22,18,1024.6,,19.2,No,No
Nuriootpa,9.6,14.8,7,3,5.1,W,61,W,28,68,1012.4,8,13.3,Yes,Yes
Cairns,19.2,29,0,6.6,10.3,E,43,NE,22,62,1014.5,1,26.7,No,No
NorahHead,8.8,17.2,1.8,,,SE,48,SE,24,58,1027.6,,16.3,Yes,Yes
MountGinini,3.2,12.7,,,,SE,46,,,,,,,,No
PearceRAAF,18.1,34.9,0,,13,E,63,S,17,21,1013.6,2,33.4,No,No
Williamtown,24.5,42.4,0,,,S,54,WNW,28,20,1006.9,1,41.9,No,Yes
Townsville,21.5,28.9,0,11.2,,ESE,50,ENE,30,54,1014.6,7,26.9,No,No
Newcastle,10.6,16.3,7,,,,,,0,87,,7,15,Yes,Yes
Ballarat,9.9,24.1,0,,,SE,61,ESE,22,34,1020.4,,22.9,No,No
Tuggeranong,12.6,15.1,48.6,,,S,28,SSE,9,96,1017.9,,14.6,Yes,Yes
Nuriootpa,6.9,12.9,3.2,1.8,3.2,W,48,W,24,95,1018.6,7,12,Yes,Yes
SydneyAirport,24.1,34.4,0,8,12,SSE,59,ESE,26,37,1002.8,1,29.1,No,No
Penrith,12,16,4.4,,,SSW,43,SSW,15,98,,,13,Yes,Yes
Bendigo,4.8,13.2,4,,,SSW,69,SW,26,58,1015.6,1,13,Yes,No
SydneyAirport,8.7,18.7,0,3,9.8,WSW,39,SE,13,38,1023.8,1,18.5,No,Yes
Cairns,24,30.8,9,5,6.3,SSE,43,SSE,28,62,1008.8,4,30.5,Yes,No
Tuggeranong,5.5,15.1,1.4,,,SSE,48,SSE,19,51,1017.3,,14,Yes,Yes
Adelaide,9.4,16.8,,,9.1,NNW,54,NNW,28,47,1009.5,,16.5,,Yes
Portland,9,12.4,5,1.2,3.7,W,44,W,28,60,1016.8,6,12,Yes,Yes
NorfolkIsland,19,22.8,4.8,3.8,12.5,SW,43,SW,30,70,1005.9,2,21.2,Yes,Yes
Launceston,5.2,17.9,0,,,NNW,91,NW,11,85,,8,13.7,No,Yes
Woomera,10.9,13.8,0.6,11.8,,SSW,57,SSW,28,78,1015.8,,12.4,No,Yes
Williamtown,8.4,16,2,1.2,1.1,WNW,17,ENE,7,69,1031.3,6,15.2,Yes,No
Hobart,4.8,16.7,0,4.4,13,,,SE,22,46,1022.8,1,15.9,No,No
Cobar,11.9,27.8,0,4.6,,N,35,NNW,22,17,1015.9,0,26.9,No,No
Adelaide,8.5,16.7,0,2,,N,44,NNW,19,44,1018.6,,16.5,No,Yes
Cairns,24.1,31.8,2.6,9.4,10.4,SE,50,SE,28,69,1007.1,5,29.6,Yes,Yes
Ballarat,15,23.8,10.6,,,N,54,W,11,67,1010,2,22.4,Yes,Yes
Canberra,,39,0,12.4,,,,,,8,,,37.4,No,No
MelbourneAirport,3.2,16.4,0,2.4,1.6,NNE,30,NE,11,64,1016,7,14.7,No,Yes
MountGambier,8.8,15.5,3.2,1,3.3,SW,44,SSW,19,56,1016.3,7,14.4,Yes,No
Uluru,15.7,26.2,,,,SSE,30,SSE,17,43,1012.6,,25.3,,No
Cairns,23.6,32.6,0,8,9.5,NNE,31,NNE,19,59,1006.1,3,31.3,No,No
Sydney,17.1,22.2,0,8,5.7,,,SE,20,55,1019.3,1,21.8,No,Yes
AliceSprings,7.6,31,0,,,NW,41,NNW,24,12,1006.8,8,30.1,No,No
Portland,10.2,17.7,0.2,3,5.9,W,39,W,22,66,1020.8,8,17.4,No,Yes
Brisbane,13.2,23.4,0,2.2,9.9,W,26,W,9,33,1018.4,0,22.8,No,No
MelbourneAirport,8,15.4,0.4,2.6,7.3,N,41,N,13,38,1013.6,3,14.8,No,No
Cairns,22.9,27.5,6.6,8,,SSE,37,SE,19,81,1014.2,8,25.2,Yes,Yes
Sydney,25,41.3,0,13.4,5.6,,,SSE,6,17,1005.4,5,39.9,No,Yes
Brisbane,12.1,26.2,0,5.8,10.1,NE,20,NE,9,49,1020.6,3,24,No,No
Ballarat,7.7,19.9,0,,,SE,30,W,13,48,1009.3,5,18.1,No,No
NorfolkIsland,15.9,19.7,34.4,4.2,0.1,SW,81,SW,28,96,979,8,18.5,Yes,Yes
Albury,6,14.2,7.8,,,NNW,20,NNW,15,69,1013.2,8,13.3,Yes,Yes
BadgerysCreek,17.2,23.2,0.2,,,E,24,NE,11,78,1013.5,,21.1,No,No
MountGambier,10.6,26.5,0,4.8,8.9,SSW,31,SSW,24,48,1007.2,5,24.3,No,Yes
PearceRAAF,18.1,22.9,,,1.6,E,72,SE,20,94,1003.8,8,18.3,,Yes
NorfolkIsland,20.1,23.5,0,4.6,7.2,SW,43,SSE,19,93,1009.4,3,20.8,No,Yes
Dartmoor,4.8,24.1,0,,,SE,41,ESE,20,52,1005,,23.3,No,Yes
Nhil,7.7,14.2,0,,,N,19,N,4,69,1023.9,,13.8,No,No
Newcastle,,23,9,,,,,,,,,,,Yes,No
GoldCoast,20.2,27.7,0.2,,,SE,41,SE,26,62,1011,,25.5,No,Yes
Witchcliffe,8.6,15.8,0,,,N,67,N,30,62,,,15.3,No,Yes
Albany,15,25.1,0,5.8,11.9,,,SSW,39,77,1011.7,6,20.5,No,No
Dartmoor,13.5,18.3,0.4,2.6,1.1,SSW,13,SSW,2,89,1016.8,,17.2,No,No
SalmonGums,10.3,28.6,0,,,S,48,S,26,40,,,26.7,No,No
Penrith,14.6,17.4,4.6,,,SSW,33,SW,11,98,,,15.6,Yes,Yes
Adelaide,14.1,35.2,0,5.2,,NNW,48,SW,17,17,1000.8,,32.4,No,Yes
Richmond,10.8,18.8,4,4.4,,WNW,44,E,9,69,1003.6,,17.6,Yes,Yes
Brisbane,18.8,25.9,0.2,6.2,5.5,SE,33,SSE,13,59,1014.7,7,24.5,No,Yes
Cobar,3.2,18.4,0,2.8,,ENE,20,SE,9,32,1023.1,1,17.2,No,No
Darwin,27.9,34.5,0,9,7.9,ESE,72,WNW,33,63,1005.5,7,33.1,No,Yes
Cobar,11.6,29.3,0,4.8,,N,37,NNW,19,,1018.3,,28.5,No,No
Williamtown,20.2,23.9,9.2,,,SSW,35,S,24,75,1016.7,8,23.5,Yes,Yes
Darwin,25.2,31.7,0,2.8,7.1,E,54,NE,28,74,1008.7,7,29.2,No,No
Nuriootpa,19.5,32.9,0,10.4,12.3,,,NNE,15,18,1014.2,2,31.8,No,No
Melbourne,8.3,13.4,0.4,0.6,0.8,W,31,WSW,17,70,1027.6,,12.9,No,No
Melbourne,6.7,12.8,,0.4,0.4,N,46,N,30,70,1014.9,,12.2,,Yes
GoldCoast,18.2,21.3,1.2,,,SE,46,SSE,28,68,1021.9,,20.6,Yes,Yes
Sydney,11.4,17.1,9.8,6.4,0.2,SSE,67,SSE,31,63,1016.7,,15.2,Yes,Yes
Tuggeranong,4.8,11.2,0.8,,,WNW,30,WNW,15,54,1016.6,,11,No,Yes
Mildura,12.9,36.3,0,8,13,NNE,28,NNW,11,10,1015.2,1,35,No,No
Dartmoor,7.8,16.6,0.6,0.8,3.5,SSW,41,S,17,83,1029,,15.8,No,Yes
Williamtown,7.4,19.8,,,,NW,20,SSE,13,69,1025.4,1,18.1,,Yes
Darwin,26.1,31.8,0,5,4.7,NE,33,NE,11,63,1007.8,7,29.6,No,Yes
Woomera,6.2,16.1,0,3.4,8.4,SW,59,SW,39,55,1015.3,7,15.4,No,Yes
Hobart,11.3,17.3,0,6.8,10.6,SW,65,W,17,37,1014.1,4,15.8,No,No
Melbourne,4.4,14.7,0.4,2.2,8,NNW,35,NW,24,41,1018.9,6,14,No,Yes
MountGambier,7.6,15.3,2.2,0.4,5.6,SW,20,WSW,9,71,1028.2,6,14.7,Yes,No
Nuriootpa,9.6,14.1,1.6,2,0.3,NNE,43,NNE,20,76,1013,8,11.3,Yes,Yes
